Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,570.349976,591.500000,567.049988,582.299988,559.933472,21232768
2020-12-08,582.000000,582.000000,565.799988,568.700012,546.855896,10673103
2020-12-09,571.000000,583.950012,566.700012,569.549988,547.673157,11144200
2020-12-10,570.000000,574.750000,560.099976,565.200012,543.490295,6755693
2020-12-11,567.900024,572.950012,562.000000,568.099976,546.278870,6968494
2020-12-14,568.349976,578.650024,568.349976,576.250000,554.115906,8582193
2020-12-15,575.000000,580.000000,569.000000,571.650024,549.692505,5896090
2020-12-16,571.000000,578.500000,571.000000,576.599976,554.452332,5135499
2020-12-17,579.500000,586.299988,569.700012,571.349976,549.404053,9025916
2020-12-18,574.000000,576.900024,568.000000,575.000000,552.913879,4940687
2020-12-21,573.799988,585.900024,539.700012,552.549988,531.326172,12715463
2020-12-22,553.000000,571.099976,540.400024,568.299988,546.471191,8012096
2020-12-23,570.000000,576.549988,566.099976,574.599976,552.529175,4958783
2020-12-24,574.599976,595.000000,572.150024,590.450012,567.770508,7486583
2020-12-28,599.000000,599.450012,584.549988,586.950012,564.404846,12299793
2020-12-29,589.799988,596.000000,583.150024,590.599976,567.914551,7430043
2020-12-30,595.000000,595.000000,581.500000,584.000000,561.568115,5589703
2020-12-31,584.650024,594.900024,582.049988,592.349976,569.597412,8835267
2021-01-01,592.500000,599.750000,585.849976,596.250000,573.347595,8229768
2021-01-04,600.000000,609.450012,595.200012,604.400024,581.184570,11329298
2021-01-05,608.450012,608.700012,600.000000,603.450012,580.271057,7790158
2021-01-06,604.099976,610.950012,596.150024,605.299988,582.049988,6422080
2021-01-07,606.049988,608.000000,598.000000,601.900024,578.780579,4555702
2021-01-08,607.000000,622.799988,604.000000,620.799988,596.954651,11451416
2021-01-11,623.700012,628.000000,614.049988,621.000000,597.146973,7516087
2021-01-12,621.000000,623.900024,607.049988,609.650024,586.232910,6747035
2021-01-13,611.000000,614.500000,597.250000,602.299988,579.165161,6186661
2021-01-14,602.299988,611.650024,596.400024,607.049988,583.732849,6730284
2021-01-15,609.000000,616.799988,598.099976,604.299988,581.088440,8389544
2021-01-18,604.099976,607.349976,578.450012,581.450012,559.116028,7414570
2021-01-19,586.900024,603.000000,583.349976,596.549988,573.635986,5500391
2021-01-20,601.200012,603.599976,592.950012,594.700012,571.857117,5182972
2021-01-21,598.000000,598.750000,580.650024,582.900024,560.510376,4546393
2021-01-22,582.900024,586.950012,570.599976,575.200012,553.106201,5591688
2021-01-25,577.099976,594.000000,567.000000,586.400024,563.876099,8149590
2021-01-27,585.900024,585.900024,563.750000,569.799988,547.913635,8534047
2021-01-28,554.900024,574.500000,550.400024,564.349976,542.672852,9863454
2021-01-29,568.000000,600.000000,554.099976,586.200012,563.683655,22539938
2021-02-01,596.000000,599.400024,579.599976,590.150024,567.481934,12621971
2021-02-02,596.950012,616.900024,591.500000,609.450012,586.040588,15788247
2021-02-03,612.500000,648.400024,610.500000,629.200012,605.031982,23788455
2021-02-04,632.500000,641.000000,626.250000,631.500000,607.243652,7926593
2021-02-05,633.500000,644.250000,623.150024,634.750000,610.368896,10981738
2021-02-08,640.900024,644.849976,632.549988,634.650024,610.272644,6479801
2021-02-09,631.900024,639.250000,621.000000,623.599976,604.889038,5794015
2021-02-10,623.049988,631.549988,614.099976,627.099976,608.284119,6902162
2021-02-11,622.000000,648.750000,622.000000,643.650024,624.337585,11433578
2021-02-12,654.400024,654.400024,622.349976,627.150024,608.332642,15471776
2021-02-15,632.000000,637.299988,623.299988,627.500000,608.672119,7310676
2021-02-16,631.000000,634.500000,623.000000,631.150024,612.212646,6137454
2021-02-17,628.700012,632.400024,619.799988,621.250000,602.609680,4700733
2021-02-18,622.000000,627.250000,614.099976,616.049988,597.565735,5633766
2021-02-19,615.900024,622.299988,601.200012,607.299988,589.078186,7301975
2021-02-22,608.000000,610.849976,590.400024,595.299988,577.438232,5330343
2021-02-23,595.000000,608.349976,592.000000,604.049988,585.925781,7564187
2021-02-24,607.099976,609.349976,595.849976,601.450012,583.403870,3296243
2021-02-25,606.400024,618.900024,602.700012,609.549988,591.260803,6261754
2021-02-26,604.950012,621.349976,590.000000,594.599976,576.759277,15404415
2021-03-01,600.000000,610.799988,597.049988,604.450012,586.313782,5274758
2021-03-02,609.000000,616.349976,604.500000,614.200012,595.771240,4776776
2021-03-03,616.500000,625.400024,612.250000,624.349976,605.616638,6626297
2021-03-04,622.000000,636.750000,616.000000,618.950012,600.378723,11530735
2021-03-05,619.450012,619.450012,606.900024,611.200012,592.861267,6127488
2021-03-08,611.500000,621.900024,611.299988,614.799988,596.353210,4554461
2021-03-09,618.000000,620.900024,607.500000,612.599976,594.219177,4035628
2021-03-10,618.000000,627.900024,615.349976,626.000000,607.217163,5825924
2021-03-12,628.000000,629.150024,611.500000,613.599976,595.189148,4264170
2021-03-15,614.000000,614.000000,596.500000,605.500000,587.332275,4030762
2021-03-16,606.000000,609.950012,599.250000,602.299988,584.228210,4189930
2021-03-17,604.000000,604.000000,582.000000,584.750000,567.204834,7667561
2021-03-18,587.400024,591.549988,572.000000,574.549988,557.310852,5537584
2021-03-19,571.000000,582.650024,562.099976,578.299988,560.948364,6186643
2021-03-22,578.599976,593.599976,578.599976,591.000000,573.267212,7033955
2021-03-23,591.200012,594.700012,583.000000,587.849976,570.211853,5341729
2021-03-24,585.000000,597.000000,583.200012,585.299988,567.738342,7299582
2021-03-25,584.400024,587.950012,571.500000,575.750000,558.474915,4710869
2021-03-26,580.849976,590.299988,574.599976,587.200012,569.581299,5761818
2021-03-30,594.950012,599.000000,587.250000,597.700012,579.766357,4637718
2021-03-31,598.200012,606.000000,595.700012,597.799988,579.863342,5269919
2021-04-01,600.000000,612.700012,597.349976,610.750000,592.424744,6033653
2021-04-05,611.700012,611.950012,592.750000,608.799988,590.533264,5353987
2021-04-06,608.750000,621.900024,603.500000,620.450012,601.833679,7444994
2021-04-07,621.000000,628.400024,616.150024,621.049988,602.415710,4757224
2021-04-08,620.549988,626.000000,613.299988,614.250000,595.819763,3222479
2021-04-09,613.000000,642.000000,609.500000,636.750000,617.644714,16755446
2021-04-12,639.000000,645.849976,615.200012,619.349976,600.766602,15229597
2021-04-13,624.000000,635.549988,616.099976,627.349976,608.526611,7399207
2021-04-15,633.599976,641.500000,626.500000,633.250000,614.249573,8588761
2021-04-16,633.250000,650.000000,626.349976,646.049988,626.665588,9804095
2021-04-19,644.000000,651.400024,635.000000,640.650024,621.427612,11340358
2021-04-20,643.799988,659.500000,639.150024,645.150024,625.792542,13831258
2021-04-22,650.700012,658.000000,638.099976,639.950012,620.748596,11295290
2021-04-23,636.500000,645.799988,630.150024,637.950012,618.808716,7668180
2021-04-26,644.000000,644.000000,631.000000,634.700012,615.656128,6527947
2021-04-27,632.700012,642.450012,632.000000,639.250000,620.069580,5112384
2021-04-28,640.950012,647.299988,638.299988,643.400024,624.095032,6069155
2021-04-29,648.950012,652.000000,641.099976,644.500000,625.162048,5676290
2021-04-30,642.000000,666.599976,640.099976,654.450012,634.813538,10874266
2021-05-03,653.950012,663.950012,650.099976,659.200012,639.421082,6567597
2021-05-04,662.000000,664.900024,642.000000,645.150024,625.792542,5604638
2021-05-05,642.250000,687.900024,642.250000,683.400024,662.894958,25296369
2021-05-06,689.849976,696.700012,673.349976,679.400024,659.014954,11153908
2021-05-07,681.000000,691.000000,677.599976,679.450012,659.063354,6466334
2021-05-10,688.000000,703.500000,683.599976,698.200012,677.250854,10924222
2021-05-11,698.500000,721.849976,696.200012,708.099976,686.853760,14760511
2021-05-12,714.950012,714.950012,700.000000,702.849976,681.761353,7250661
2021-05-14,703.000000,711.000000,687.000000,691.450012,670.703369,6851035
2021-05-17,688.000000,698.500000,680.049988,687.150024,666.532410,6318234
2021-05-18,691.000000,695.849976,684.750000,690.799988,670.072876,4080423
2021-05-19,694.299988,706.750000,690.799988,703.400024,682.294800,7745431
2021-05-20,700.000000,701.650024,685.000000,686.849976,666.241394,6226376
2021-05-21,691.750000,694.500000,688.000000,690.400024,669.684937,3434231
2021-05-24,691.000000,698.400024,689.599976,690.950012,670.218384,3722957
2021-05-25,695.000000,697.400024,691.000000,696.099976,675.213867,2800233
2021-05-26,699.500000,706.150024,696.200012,703.799988,682.682800,6235460
2021-05-27,707.250000,709.750000,694.500000,699.500000,678.511841,9875654
2021-05-28,694.000000,694.500000,666.299988,669.750000,649.654480,28316552
2021-05-31,672.000000,675.700012,659.000000,668.299988,648.247986,13947126
2021-06-01,670.099976,673.299988,664.299988,671.049988,650.915466,6443084
2021-06-02,671.000000,678.099976,670.150024,677.450012,657.123474,4978457
2021-06-03,678.000000,680.849976,673.500000,675.500000,655.231873,3604574
2021-06-04,678.900024,679.250000,672.799988,673.950012,653.728394,3747803
2021-06-07,673.950012,677.799988,670.900024,675.349976,655.086365,2793705
2021-06-08,673.000000,679.950012,665.099976,678.750000,658.384460,5695920
2021-06-09,681.049988,684.700012,667.599976,672.849976,652.661316,4492551
2021-06-10,673.049988,681.000000,673.000000,676.049988,655.765381,3099864
2021-06-11,675.200012,686.349976,674.049988,681.299988,660.857910,3822099
2021-06-14,682.000000,683.700012,671.549988,677.099976,656.783875,3640962
2021-06-15,677.099976,681.400024,671.750000,673.200012,653.000977,3862284
2021-06-16,675.000000,680.500000,666.849976,668.549988,648.490417,4842448
2021-06-17,671.799988,673.549988,661.650024,665.049988,645.095459,2776147
2021-06-18,667.000000,673.000000,652.700012,668.500000,648.442017,4158743
2021-06-21,662.000000,674.799988,662.000000,671.349976,651.206360,2932177
2021-06-22,678.000000,680.250000,665.849976,666.799988,646.792969,4577152
2021-06-23,666.799988,672.349976,664.250000,665.250000,645.289551,2631031
2021-06-24,664.200012,671.000000,661.500000,664.799988,644.852966,3460776
2021-06-25,664.799988,677.400024,664.799988,672.250000,652.079468,3010243
2021-06-28,675.000000,679.900024,669.549988,676.299988,656.007935,3342385
2021-06-29,673.250000,681.500000,673.099976,677.599976,657.268982,2937766
2021-06-30,678.049988,683.450012,674.250000,675.450012,655.183472,3768943
2021-07-01,675.000000,685.799988,673.700012,684.150024,663.622437,4102748
2021-07-02,685.500000,689.500000,678.299988,681.250000,660.809448,5071894
